"Guid","AccountId","Application__c","Comments","ContactId","Description","IsEscalated","ParentId","Priority","Reason","Status","Subject","SuppliedCompany","SuppliedName","SuppliedPhone","Type","TypeDetail__c"
02c94b7b-1450-447d-a3ab-35ea786b5f39,0054ba45-53e2-4c49-b8d4-9dcfba9efd7d,"#N/A","#N/A",a1d9c33d-c60e-4947-af60-770976ccecee,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,New,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
02de4208-9d95-4535-8b13-51459cdbd4a6,d9ed6b1e-63f7-478b-8058-c585c39e84ea,"#N/A","#N/A",0555d00a-6803-453f-a264-3b2238409177,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Approved,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
02ea94aa-85b8-42fb-a24e-3dee8dc10c93,737d034c-e5b4-480d-854f-406b9a7076eb,"#N/A","#N/A",17d21af3-74b2-460f-9794-eded91992658,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Rejected,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
02ff5b4a-d2f2-4c22-8cf9-666b8e49e116,c901327b-00ba-4026-852d-5447cc8ac4a9,"#N/A","#N/A",ca3c3908-6f50-4ef8-9919-eb3bd2ba1e64,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,On Hold,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
03391521-877b-4351-932c-0eab9e8c5c52,b9386bac-7c82-4c57-9e1f-0712576ef430,"#N/A","#N/A",41842cab-2176-4aa1-8646-a7f8c8325340,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Approved,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
03452dfb-1d0d-4b21-a495-00dd17fa414a,f996b85c-5cbb-464a-bb07-87dae6160351,"#N/A","#N/A",8f1de3af-b971-477d-858b-8e74cd0e3f3c,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Escalated,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
039035fb-37a1-4422-bacc-5f36052dbb7f,bd1533fc-7051-4a00-8941-fef9f7afc476,"#N/A","#N/A",b09e491a-4366-428b-a703-f32f000e2001,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Approved,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
03b3b826-7ad7-47d5-857d-30ab01224cb9,d7057886-af2f-4446-a500-e6af21bd6cfe,"#N/A","#N/A",c08152c7-7f24-4803-8586-3bb77f5525e6,User Needs Help,false,"#N/A",Medium,New problem,New,Labels not showing the contact's name,"#N/A","#N/A","#N/A",Problem,"#N/A"
03c200b8-747d-45bd-9e94-60b697969b9f,b9386bac-7c82-4c57-9e1f-0712576ef430,"#N/A","#N/A",67a0fe00-6f39-4ecc-b463-e9f4655b4d6e,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Escalated,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
03e0636c-76a7-4046-b9d7-52f3b8fae525,9727a6b4-dc86-4539-9964-9760a4fa76de,"#N/A","#N/A",653507ef-00a5-4358-aa44-35de1f0c7d15,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,On Hold,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
03ed292b-6b1f-4efa-bd8b-3bc96a0ead2c,6429b20d-af82-4cba-bc2e-68bb3a6e9932,"#N/A","#N/A",d71cde8f-0327-4ef7-8c24-e4f8c74dcd4c,Prefers Direct Phone Outreach,false,"#N/A",Medium,Instructions not clear,Approved,Questions regarding charts,"#N/A","#N/A","#N/A",Question,"#N/A"
03f55ee2-4407-4a0c-8952-3db1f4cf9143,e5170054-211c-4cf0-8280-a810fac568ed,"#N/A","#N/A",2493c61d-aec6-4e42-84e8-68f88af07dd8,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Pending Approval,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
04192c55-b0e2-4669-bca6-6be94aebc872,d0d932d2-e919-4eb0-85fe-6a9bd9b254c8,"#N/A","#N/A",b177952c-e1e8-4c77-8e98-84d728b1b2f1,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,On Hold,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
041e217d-0085-404e-be34-c128df53b095,9fa9c141-6b6b-417b-8567-d8c2d74c5243,"#N/A","#N/A",8a61774c-17af-467a-97da-2d6b5b942c60,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Approved,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
04c8d794-0215-4613-a31b-b027da463b27,d1e9715a-1023-46f0-bbe8-e0648f6195f6,"#N/A","#N/A",eefb4d53-0cf7-4e69-abe2-04ca5878d300,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,New,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
04cee89d-f1df-4745-826e-099219d396a0,dc8a2432-7035-44f0-92e7-9df77e563b69,"#N/A","#N/A",09a6638a-5579-4611-9d9b-b857e85630e2,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Escalated,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
04de5f72-fe5b-4dac-bb29-71248a1bf7bb,7bde0149-7327-4349-b6ca-9bcca338d7b5,"#N/A","#N/A",e9c39fd0-6b61-4f02-ae27-26f257475890,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,On Hold,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0514bc31-5adb-45ae-a82c-fff5ce18f514,34c22de5-e7d8-4df6-aa41-cfd0cb899377,"#N/A","#N/A",60177ff2-73c6-433f-822a-2b94131b1666,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Approved,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
0526e624-875f-4b8d-89d8-649518526ab2,852e8915-4e2a-4e6a-baea-86a91ee1ed8b,"#N/A","#N/A",ab3db113-0b67-43d2-985f-35e5bc2bd6bf,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Escalated,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0571efb6-890c-4c02-8dfc-0c9afca4ebd9,3f73763e-176e-4d5f-964d-c3ce827ce81a,"#N/A","#N/A",81c69c7a-e3bd-4ba2-bbdd-a06a076f4129,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,On Hold,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
05a62da5-e420-4731-bf3e-17899c35ff94,96fbf306-4ce1-48d3-99c0-a2304ca5e6b0,"#N/A","#N/A",839fdcb2-a537-4a4f-86c0-dc7ed822c4c0,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,New,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
05b39ad2-6233-4795-a613-dcc58d0f3b6e,0fc8c784-6383-4d1c-948a-1a924279f325,"#N/A","#N/A",1aac05d8-9afd-4379-a84f-9c534efd5eec,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,On Hold,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
05e462e1-8503-4148-b014-fb2345064822,98dc0266-6271-4a99-9606-f1c61ae266bc,"#N/A","#N/A",94ed626b-8ff8-48db-9951-c4d54b26f392,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Rejected,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
06145218-1d8e-4627-a8a6-875fdc7995ff,2b4864d4-5cbe-4a2a-a3ab-c3e6339c4104,"#N/A","#N/A",f1b1c6cc-5551-4ccf-b7df-d709d64a5623,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Rejected,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
063326bd-309b-48b4-a0eb-37ce212de284,3ce819b4-3c76-44a9-832d-2bd3d2ff8de5,"#N/A","#N/A",9108d47c-4cae-4e45-a8fc-2cdddd3d994e,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Pending Approval,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0673dba0-de17-4c09-9e0a-8f3f242d2139,55685385-edde-42cc-8b28-a14e330dbd52,"#N/A","#N/A",752dc7cd-50ad-4936-97bd-3022838b3d6c,User Needs Help,false,"#N/A",Medium,Complex functionality,Closed,Customization Help,"#N/A","#N/A","#N/A",Question,"#N/A"
0682503f-e5cb-4f34-af91-6911a17635a9,3b278519-9a0d-4a24-90e2-09e37854f2bd,"#N/A","#N/A",ab8dbd1f-f27d-4cb3-b55d-2b50bde22f48,User Needs Help,false,"#N/A",Medium,User didn't attend training,Approved,Pivot Table Help - Bad Data Sources in Template,"#N/A","#N/A","#N/A",Problem,"#N/A"
06aad1a2-2d08-43f0-819a-b7a89d8841a2,3e676566-6478-4799-8540-bffc9c15bdef,"#N/A","#N/A",8a7167b3-0566-48c3-8c02-89d082068864,EMEA Case,false,"#N/A",Medium,New problem,Closed,Updated installation guide for Inventory Management Suite,"#N/A","#N/A","#N/A",Question,"#N/A"
06add714-e8d8-49ce-981b-2fd263925d1b,c46e6e85-0783-440a-9844-17c7c197df75,"#N/A","#N/A",fbc7d71e-b7e0-4c17-8ce9-81ea9171c3fa,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Rejected,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
06b20e55-78fd-4716-859a-43ad1b55dc52,2b4864d4-5cbe-4a2a-a3ab-c3e6339c4104,"#N/A","#N/A",fc10b9aa-57d5-4866-82e7-3fd5cff162ba,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,New,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
06f594f5-8e45-4d3a-94b8-b751d13484f4,50392b06-ee37-49bf-abf8-7d2be1fdbfba,"#N/A","#N/A",76dc40de-7cc6-42e7-ae3e-ab1ed75fe149,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Closed,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
06ffd86e-0870-4aa9-a9fe-71c4b90efd3c,c33425fc-b1df-4a78-8fb6-2a799daca718,"#N/A","#N/A",197a6471-0ded-46af-aa9c-ee7f77cc8ed8,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,New,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0754ee48-8ff0-4569-ad80-b9d10ae497f4,ffff64f2-4914-47d2-b9fd-83baec814912,"#N/A","#N/A",bf53f4a1-af66-4e15-a446-7e835b26d3e9,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Approved,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
076695de-839e-42e6-832c-0d1a42cfaf57,01909983-dbf1-43a3-b8a9-97ab00fdd257,"#N/A","#N/A",e525a17a-997a-4df2-b673-508c0a3db853,The administrative override feature is assigning controls to a non-admin.,false,"#N/A",Medium,New problem,Rejected,Administrative override feature not working,"#N/A","#N/A","#N/A",Problem,"#N/A"
077f8c1a-82f4-457a-96e9-1ca6b136cf0d,425d28b5-b2ed-4fa7-9dba-3668bfb52ed2,"#N/A","#N/A",91ba7c0c-2a3f-40c5-b0a0-f3d36f378edc,User Needs Help,false,"#N/A",Medium,User didn't attend training,New,Initial setup overview,"#N/A","#N/A","#N/A",Question,"#N/A"
07a07704-4c45-4758-8191-ac8ccf641e92,e20bdf3e-07a4-44ae-a984-9f53f76cc1ba,"#N/A","#N/A",cef50705-3fe8-4144-b15d-8743e026b21e,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,New,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
08216d1f-acd9-437d-a531-0ab66f7f99c9,f6346d65-4770-4b63-ba83-838486a23ea4,"#N/A","#N/A",52ed0ee8-9d5f-4a2b-9546-18673cc909aa,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Escalated,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
082f151d-ef55-42a3-ae25-64330d5d0ec0,a359a09c-a282-4f16-8709-11a17c9446e3,"#N/A","#N/A",c6dce116-6f90-4976-af70-2d3a47d4f656,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Pending Approval,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0835b844-efb1-4582-b4b3-de88403cdd5f,2bd5de2e-f55b-4e91-81f5-90cf23d73733,"#N/A","#N/A",f3666c5d-01d7-4bad-b415-512ebe0fa2d8,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Approved,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
085f3a60-5522-4826-adc0-9cd151e2c2d5,4d7363f4-8464-4110-94ea-4a569a217b2a,"#N/A","#N/A",33bb4e54-e8a3-45a5-9643-029fb36a6515,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Escalated,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
08834180-4b4f-4f60-99ca-95f9a2e053d3,bf4089e0-3e7d-444d-a50d-1445c45ac0a7,"#N/A","#N/A",d01ecea3-4b8d-483b-bf69-9f60c04f0636,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Rejected,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
08a7129b-a1ce-4c8d-8d3a-535924b19098,e20bdf3e-07a4-44ae-a984-9f53f76cc1ba,"#N/A","#N/A",3d84b13f-60ce-4ace-9ad1-8556dc7d7647,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Pending Approval,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
08c1672f-3f86-47ff-8ebf-c77e7b1e6c4c,3b278519-9a0d-4a24-90e2-09e37854f2bd,"#N/A","#N/A",5f457646-8d8b-4a61-9ac5-43da0860fbdd,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Rejected,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
08d91bc2-1893-41fc-ad94-f776ba570ea5,ac9a8dad-559c-4927-9818-b5841fa186c6,"#N/A","#N/A",f7d5f5bf-4f6b-4060-86d8-eeb70237e15e,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Approved,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
092a4161-3047-4c03-b0f3-42b029e4f830,fc1bfb29-1102-4583-9956-00a4a744edb9,"#N/A","#N/A",c0b8e14e-c047-4db3-9fd0-957512aa0bd2,EMEA Case,false,"#N/A",Medium,New problem,Rejected,Error Messages - Slow / not responding,"#N/A","#N/A","#N/A",Problem,"#N/A"
093e3726-f42c-4e6d-a638-daefef4a1158,0054ba45-53e2-4c49-b8d4-9dcfba9efd7d,"#N/A","#N/A",b0a0a791-567b-4f9a-89cf-93c39d8d9b8c,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Approved,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
094a81ac-a6b4-48f8-80d0-aad1671fb4da,60a5a87b-02c1-473f-8f7c-a1797bbe7f61,"#N/A","#N/A",418cd16a-0728-4195-bdc4-260c4dfc8d44,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Closed,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0964a799-a7b1-4758-b2b7-b994e55739c9,e20bdf3e-07a4-44ae-a984-9f53f76cc1ba,"#N/A","#N/A",0f18c6da-a135-471e-8c8e-a4a58a53213a,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,On Hold,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
098ae788-1ed3-4c55-8f6c-e3664376344a,98491fdc-ec70-4799-b9d8-2f95a83627db,"#N/A","#N/A",3c98cff2-0fff-45d1-a18e-e1de77118266,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Rejected,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
098e1520-4135-4434-bd2f-aee2e716acf6,c313ffc8-35f9-46c6-b8ae-39be3f3dff11,"#N/A","#N/A",355a3549-248b-4610-9641-2bb6f486c848,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,New,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
099f57e3-061c-4b7c-bab8-ffb5a793ed39,f996b85c-5cbb-464a-bb07-87dae6160351,"#N/A","#N/A",a9d6f6d7-e30c-4200-8379-de13a0c1756f,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Pending Approval,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
09beebbd-f9bb-4b2f-b593-44ee07d50631,ffff64f2-4914-47d2-b9fd-83baec814912,"#N/A","#N/A",d8ec1866-fe63-4af2-89de-9210cf3a4894,User Needs Help,false,"#N/A",Medium,Instructions not clear,On Hold,Generating/Emailing Donation Statements,"#N/A","#N/A","#N/A",Question,"#N/A"
09d165d1-a490-4857-a226-627e9e6a78d5,6a45427d-14a8-4d24-b184-ea50cefa3b04,"#N/A","#N/A",b9c6348d-b2d5-4c51-9167-02d8bdc19eff,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Escalated,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
09e7419c-b5bd-4060-a2ae-051996f0c744,c6c438d2-f877-42d8-a05f-86b7d8c46b38,"#N/A","#N/A",1115b543-ffb4-47c4-8ae5-d63396971ac8,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Approved,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
0a1618e2-d636-43c4-9ec3-335b7069ebd0,59a83011-349f-4707-b281-3c7b3db49136,"#N/A","#N/A",65d9595c-8c51-41a6-b256-4dead1ab16e7,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Pending Approval,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0a5aefd6-45c9-4331-b7e8-91e8b15e0e12,5d195f59-13a7-4221-947c-a90bcd546eb7,"#N/A","#N/A",0a687bbb-7ac9-4880-b817-fb1caccff8f9,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Closed,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0a5f8af7-f94e-46f7-ae13-5aea8f6e4977,96fbf306-4ce1-48d3-99c0-a2304ca5e6b0,"#N/A","#N/A",340d5681-0ff7-4101-94bd-db14a33b5740,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Pending Approval,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
0a6ac1c7-f0f4-410e-9d98-47620125ab84,4910bc83-2284-4341-be62-e9e12e4accd0,"#N/A","#N/A",7a684c9f-1786-4284-8b39-8a453dfe37b8,"#N/A",false,"#N/A",Medium,"#N/A",Pending Approval,Password Reset,"#N/A","#N/A","#N/A",Problem,"#N/A"
0a7f0d61-aed8-4259-b595-db87f20d4c01,8fbbcd59-0aa4-49bf-9dc0-be34277e764d,"#N/A","#N/A",ab8dbd1f-f27d-4cb3-b55d-2b50bde22f48,I can't access it. What's going on?,false,"#N/A",Medium,Complex functionality,Escalated,Server up?,"#N/A","#N/A","#N/A",Question,"#N/A"
0a7fdc3c-b05c-42dc-b059-6489606ea6c9,9c448add-1908-4793-89ce-f2e98ddf6988,"#N/A","#N/A",c1dbe4b6-373f-4438-9c37-29975d6b0733,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Pending Approval,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0a84d180-a647-4786-964f-48babdb1986e,6651515b-4326-4f26-ae55-af7e17ba4eee,"#N/A","#N/A",fb4d81d8-17d6-4620-9a72-8333101f08ad,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Rejected,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0aadeb99-162f-477c-94e9-e3e76f25558e,ac9a8dad-559c-4927-9818-b5841fa186c6,"#N/A","#N/A",c34407d9-5d41-433f-ab8e-d152b8000cff,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,On Hold,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0aae7dc1-1e9a-4656-b594-433a6bef6b50,26730f38-8343-45d4-aacd-68a349b3a0d2,"#N/A","#N/A",673058b5-4bae-4c0b-9f3d-12df8f61f646,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,On Hold,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0ae19254-f022-4282-9f95-b27e42bf6467,f6346d65-4770-4b63-ba83-838486a23ea4,"#N/A","#N/A",d2705b6e-2833-4027-9fd7-b301d26b202d,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Rejected,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0ae3ca5e-3243-44cb-963c-a40c462de5fd,b141d67c-e329-44ae-9db0-1aa92e16ff98,"#N/A","#N/A",b169fb06-90b3-4658-8e84-34c37d5d2ac3,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Approved,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0aeeca39-9b3e-4c0d-b908-c984551cc41a,98dc0266-6271-4a99-9606-f1c61ae266bc,"#N/A","#N/A",d4f8cb48-42dc-481c-8994-5f6db9309dae,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Approved,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0b19b506-9116-4b78-ac86-e161858eecd3,737d034c-e5b4-480d-854f-406b9a7076eb,"#N/A","#N/A",448831f4-4f7f-4811-8a72-87a243a1b137,Unsure how much I owe this month.,false,"#N/A",Medium,Instructions not clear,Approved,Current Balance,"#N/A","#N/A","#N/A",Question,"#N/A"
0b38c180-2e6a-4e78-96b9-0d857d3cc760,3f73763e-176e-4d5f-964d-c3ce827ce81a,"#N/A","#N/A",6cfd8b94-4e5b-40a6-afb8-b296d32c8eab,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Escalated,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
0b41c025-ef71-40b9-8de4-b2301ce74ee4,fb605597-36b3-4254-88fa-9d298bf64051,"#N/A","#N/A",1a61adf9-8c7c-4406-9b74-958d08f32b9b,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Approved,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0b525290-b8c0-4295-aa85-21f794a4074b,e7095973-af77-4a95-bb04-526a0def8594,"#N/A","#N/A",db002328-7c59-40e8-9433-5559d9e37de3,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Closed,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
